iter	Passed	Remaining
0	0	60
1	1	55
2	1	52
3	1	47
4	2	47
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	43
11	5	42
12	6	41
13	6	41
14	7	40
15	7	40
16	8	39
17	8	39
18	9	38
19	9	39
20	10	39
21	11	41
22	13	44
23	13	44
24	14	43
25	14	42
26	15	41
27	15	41
28	16	40
29	16	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	29	22
57	30	22
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	39	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	53	0
